Modality,Region,lower_Basal,lower_Delta,est_Basal,est_Delta,upper_Basal,upper_Delta
cmrglc,Accumbens,29.52995052990095,0.48035515298286224,31.371900903598206,2.933266551754362,33.21385127729546,5.386177950525862
cmrglc,Amygdala,22.12800604871889,5.010281309321439,24.04071121251246,7.435944376178441,25.953416376306027,9.861607443035444
cmrglc,Banks Superior Temporal Sulcus,33.513973736534574,-3.691921463765623,35.6803865965123,-1.0036851938333784,37.846799456490025,1.6845510760988665
cmrglc,Brain Stem,20.637545331238677,3.3835659368284174,22.37920323965649,5.657835654877354,24.120861148074304,7.93210537292629
cmrglc,Caudal Anterior Cingulate,29.66211865005924,-0.0947551747141202,31.747698513429988,2.3223525369689404,33.833278376800735,4.739460248652001
cmrglc,Caudal Middle Frontal,37.166384099417165,-5.645931171449437,39.16340637258643,-2.817144046526766,41.160428645755694,0.011643078395904727
cmrglc,Caudate,32.051413920610166,-0.6358601025032218,33.95101399774065,1.6451043297517434,35.85061407487114,3.9260687620067083
cmrglc,Cerebellar Gray,26.327059170604052,-0.21786827156612087,28.323173919734437,2.227467140063206,30.31928866886482,4.6728025516925324
cmrglc,Cerebellar White,23.047747543857998,3.07194276068188,24.80898490874389,5.2670121025171595,26.570222273629785,7.462081444352439
cmrglc,Corpus Callosum,15.632049765453806,8.420639440791817,17.15583010224842,10.036530485524025,18.67961043904303,11.652421530256234
cmrglc,Cortical White Matter,24.826911866080227,2.7228695140552652,26.65552209900786,4.932777014592084,28.484132331935495,7.142684515128902
cmrglc,Cuneus,34.598505786114885,-5.285283165303578,36.732943964067246,-2.175143182719978,38.86738214201961,0.9349967998636215
cmrglc,Deep White Matter,14.982936026963706,8.549031038492082,16.458865669642908,10.254919338789117,17.93479531232211,11.960807639086152
cmrglc,Entorhinal,23.290389431025773,2.0391702175674844,25.336068093762286,4.722291706684832,27.3817467564988,7.405413195802179
cmrglc,Frontal Pole,31.273311320018532,-3.941632709305784,33.471558100528135,-1.033861851608375,35.669804881037734,1.8739090060890342
cmrglc,Fusiform,29.69119575317851,-1.67533626407563,31.89718103269857,1.4103634470445847,34.103166312218626,4.4960631581648
cmrglc,Hippocampus,24.018810534183874,2.662118579311506,25.828096274899337,5.1190459167139215,27.6373820156148,7.575973254116337
cmrglc,Inferior Parietal,33.64810072150183,-4.674816808406083,35.67481684506261,-1.979293399361645,37.70153296862339,0.7162300096827929
cmrglc,Inferior Temporal,29.855804577327046,-2.280641083693904,32.00601106106765,0.43560130552368587,34.156217544808264,3.151843694741276
cmrglc,Insula,29.44801273575793,-1.0478996872516368,31.625648693227454,1.5547212720595975,33.80328465069698,4.157342231370832
cmrglc,Isthmuscingulate,33.961783516183885,-4.903877854166078,36.10232811188441,-2.0002427212146205,38.24287270758494,0.9033924117368364
cmrglc,Lateral Occipital,30.74100639008762,-4.964107251001981,32.96193746346572,-1.8898955932284849,35.18286853684383,1.1843160645450117
cmrglc,Lateral Orbitofrontal,32.39643463185292,-2.8579531294153337,34.49399764045316,-0.039224035809783835,36.5915606490534,2.779505057795766
cmrglc,Lingual,32.749223196601136,-4.331520915114273,35.00857358071431,-1.032077896768416,37.26792396482749,2.2673651215774404
cmrglc,Medial Orbitofrontal,31.556319683125604,-1.9795097974588893,33.626290922180374,0.8484171783169838,35.69626216123514,3.676344154092857
cmrglc,Middle Temporal,30.6030203781822,-2.4319958326976714,32.70833182256224,0.214972383845886,34.813643266942286,2.8619406003894436
cmrglc,Pallidum,26.853300489199928,1.5514225983179828,28.747632834204303,4.171213110514683,30.64196517920868,6.791003622711383
cmrglc,Paracentral,30.75644149833943,-1.7316954305447285,32.76034782014073,0.7972277650940575,34.76425414194203,3.326150960732843
cmrglc,Parahippocampal,25.763872258448547,1.025817802703917,27.7652512474057,3.769334523441042,29.766630236362854,6.512851244178167
cmrglc,Parsopercularis,35.68335965307229,-4.835393613916974,37.720052259461994,-2.135913594938235,39.7567448658517,0.5635664240405034
cmrglc,Parsorbitalis,32.38980635319088,-3.9714496002870616,34.53329201701103,-1.3521757741177536,36.67677768083118,1.2670980520515542
cmrglc,Parstriangularis,34.15485488942535,-4.573333933405575,36.4713416266384,-1.5959680481269038,38.787828363851446,1.3813978371517677
cmrglc,Pericalcarine,36.789070571360746,-6.946832875360571,39.12902792967753,-3.5957368875988758,41.46898528799431,-0.2446408998371803
cmrglc,Postcentral,31.129799646225294,-2.3222585625881966,33.04284756893989,0.2414232298101667,34.95589549165449,2.80510502220853
cmrglc,Posterior Cingulate,34.74745863671041,-3.9233486200721366,36.90991103989278,-1.3923031411994937,39.072363443075155,1.138742337673149
cmrglc,Precentral,32.727956176928316,-3.3372142159367266,34.756690770251,-0.6368092211558085,36.78542536357368,2.063595773625109
cmrglc,Precuneus,35.940965457366886,-5.589247097072963,38.195706386057786,-2.7077085935663705,40.450447314748686,0.1738299099402223
cmrglc,Putamen,35.17416126472345,-4.311382263752384,37.22641138426578,-1.5213222350641353,39.27866150380811,1.2687377936241138
cmrglc,Rostral Anterior Cingulate,30.140514966007174,-0.14824189279221178,32.167961379275226,2.5391312923515055,34.19540779254328,5.226504477495222
cmrglc,Rostral Middle Frontal,35.35924837577458,-4.794553990891949,37.432252040579954,-2.027519496498629,39.50525570538533,0.7395149978946898
cmrglc,Superior Frontal,33.90082779477673,-3.5249422971732045,35.89552024979458,-0.9982436107347755,37.89021270481243,1.5284550757036532
cmrglc,Superior Parietal,31.33616997409032,-3.1093196006654837,33.33708833497258,-0.47317852781601155,35.33800669585484,2.1629625450334604
